2018/11/21 00:05:25 fileUtil.go:52: Copy():  2017-12-05 00:10:44 +0800 CST INVOIC_5366_20171205001046_6.edi H:/Invoice file/2017/12/INVOIC_5366_20171205001046_6.edi
2018/11/21 00:05:25 fileUtil.go:52: Copy():  2017-12-05 00:10:44 +0800 CST INVOIC_5367_20171205001046_7.edi H:/Invoice file/2017/12/INVOIC_5367_20171205001046_7.edi
2018/11/21 00:05:25 fileUtil.go:52: Copy():  2017-12-05 00:10:46 +0800 CST INVOIC_5368_20171205001046_8.edi H:/Invoice file/2017/12/INVOIC_5368_20171205001046_8.edi
2018/11/21 00:05:25 fileUtil.go:52: Copy():  2017-12-05 00:10:46 +0800 CST INVOIC_5369_20171205001046_9.edi H:/Invoice file/2017/12/INVOIC_5369_20171205001046_9.edi
2018/11/21 00:05:25 fileUtil.go:52: Copy():  2017-12-06 00:10:04 +0800 CST INVOIC_5371_20171206001006_1.edi H:/Invoice file/2017/12/INVOIC_5371_20171206001006_1.edi
2018/11/21 00:05:25 fileUtil.go:52: Copy():  2017-12-06 00:10:06 +0800 CST INVOIC_5372_20171206001006_2.edi H:/Invoice file/2017/12/INVOIC_5372_20171206001006_2.edi
2018/11/21 00:05:25 fileUtil.go:52: Copy():  2017-12-06 00:10:06 +0800 CST INVOIC_5373_20171206001006_3.edi H:/Invoice file/2017/12/INVOIC_5373_20171206001006_3.edi
2018/11/21 00:05:25 fileUtil.go:52: Copy():  2017-12-06 00:10:06 +0800 CST INVOIC_5374_20171206001006_4.edi H:/Invoice file/2017/12/INVOIC_5374_20171206001006_4.edi
2018/11/21 00:05:25 fileUtil.go:52: Copy():  2017-12-06 00:10:06 +0800 CST INVOIC_5375_20171206001006_5.edi H:/Invoice file/2017/12/INVOIC_5375_20171206001006_5.edi
2018/11/21 00:05:25 fileUtil.go:52: Copy():  2017-12-06 00:10:06 +0800 CST INVOIC_5376_20171206001006_6.edi H:/Invoice file/2017/12/INVOIC_5376_20171206001006_6.edi
2018/11/21 00:05:25 fileUtil.go:52: Copy():  2017-12-07 00:10:10 +0800 CST INVOIC_5377_20171207001011_1.edi H:/Invoice file/2017/12/INVOIC_5377_20171207001011_1.edi
2018/11/21 00:05:25 fileUtil.go:52: Copy():  2017-12-07 00:10:10 +0800 CST INVOIC_5378_20171207001011_2.edi H:/Invoice file/2017/12/INVOIC_5378_20171207001011_2.edi
2018/11/21 00:05:25 fileUtil.go:52: Copy():  2017-12-07 00:10:10 +0800 CST INVOIC_5379_20171207001011_3.edi H:/Invoice file/2017/12/INVOIC_5379_20171207001011_3.edi
2018/11/21 00:05:25 fileUtil.go:52: Copy():  2017-12-07 00:10:10 +0800 CST INVOIC_5380_20171207001011_4.edi H:/Invoice file/2017/12/INVOIC_5380_20171207001011_4.edi
2018/11/21 00:05:25 fileUtil.go:52: Copy():  2017-12-07 00:10:10 +0800 CST INVOIC_5381_20171207001011_5.edi H:/Invoice file/2017/12/INVOIC_5381_20171207001011_5.edi
2018/11/21 00:05:25 fileUtil.go:52: Copy():  2017-12-07 00:10:10 +0800 CST INVOIC_5382_20171207001011_6.edi H:/Invoice file/2017/12/INVOIC_5382_20171207001011_6.edi
2018/11/21 00:05:25 fileUtil.go:52: Copy():  2017-12-07 00:10:10 +0800 CST INVOIC_5383_20171207001011_7.edi H:/Invoice file/2017/12/INVOIC_5383_20171207001011_7.edi
2018/11/21 00:05:25 fileUtil.go:52: Copy():  2017-12-07 00:10:10 +0800 CST INVOIC_5384_20171207001011_8.edi H:/Invoice file/2017/12/INVOIC_5384_20171207001011_8.edi
2018/11/21 00:05:25 fileUtil.go:52: Copy():  2017-12-07 00:10:10 +0800 CST INVOIC_5385_20171207001011_9.edi H:/Invoice file/2017/12/INVOIC_5385_20171207001011_9.edi
2018/11/21 00:05:25 fileUtil.go:52: Copy():  2017-12-07 00:10:10 +0800 CST INVOIC_5386_20171207001011_10.edi H:/Invoice file/2017/12/INVOIC_5386_20171207001011_10.edi
2018/11/21 00:05:25 fileUtil.go:52: Copy():  2017-12-07 00:10:10 +0800 CST INVOIC_5387_20171207001011_11.edi H:/Invoice file/2017/12/INVOIC_5387_20171207001011_11.edi
2018/11/21 00:05:25 fileUtil.go:52: Copy():  2017-12-07 00:10:10 +0800 CST INVOIC_5388_20171207001011_12.edi H:/Invoice file/2017/12/INVOIC_5388_20171207001011_12.edi
2018/11/21 00:05:25 fileUtil.go:52: Copy():  2017-12-07 00:10:10 +0800 CST INVOIC_5389_20171207001011_13.edi H:/Invoice file/2017/12/INVOIC_5389_20171207001011_13.edi
2018/11/21 00:05:25 fileUtil.go:52: Copy():  2017-12-07 00:10:10 +0800 CST INVOIC_5390_20171207001011_14.edi H:/Invoice file/2017/12/INVOIC_5390_20171207001011_14.edi
2018/11/21 00:05:25 fileUtil.go:52: Copy():  2017-12-07 00:10:12 +0800 CST INVOIC_5391_20171207001011_15.edi H:/Invoice file/2017/12/INVOIC_5391_20171207001011_15.edi
2018/11/21 00:05:25 fileUtil.go:52: Copy():  2017-12-08 00:10:10 +0800 CST INVOIC_5392_20171208001011_1.edi H:/Invoice file/2017/12/INVOIC_5392_20171208001011_1.edi
2018/11/21 00:05:25 fileUtil.go:52: Copy():  2017-12-08 00:10:10 +0800 CST INVOIC_5393_20171208001011_2.edi H:/Invoice file/2017/12/INVOIC_5393_20171208001011_2.edi
2018/11/21 00:05:25 fileUtil.go:52: Copy():  2017-12-08 00:10:10 +0800 CST INVOIC_5394_20171208001011_3.edi H:/Invoice file/2017/12/INVOIC_5394_20171208001011_3.edi
2018/11/21 00:05:25 fileUtil.go:52: Copy():  2017-12-08 00:10:10 +0800 CST INVOIC_5395_20171208001011_4.edi H:/Invoice file/2017/12/INVOIC_5395_20171208001011_4.edi
2018/11/21 00:05:25 fileUtil.go:52: Copy():  2017-12-08 00:10:10 +0800 CST INVOIC_5396_20171208001011_5.edi H:/Invoice file/2017/12/INVOIC_5396_20171208001011_5.edi
2018/11/21 00:05:25 fileUtil.go:52: Copy():  2017-12-08 00:10:10 +0800 CST INVOIC_5397_20171208001011_6.edi H:/Invoice file/2017/12/INVOIC_5397_20171208001011_6.edi
2018/11/21 00:05:25 fileUtil.go:52: Copy():  2017-12-08 00:10:10 +0800 CST INVOIC_5398_20171208001011_7.edi H:/Invoice file/2017/12/INVOIC_5398_20171208001011_7.edi
2018/11/21 00:05:25 fileUtil.go:52: Copy():  2017-12-08 00:10:10 +0800 CST INVOIC_5399_20171208001011_8.edi H:/Invoice file/2017/12/INVOIC_5399_20171208001011_8.edi
2018/11/21 00:05:25 fileUtil.go:52: Copy():  2017-12-08 00:10:10 +0800 CST INVOIC_5400_20171208001011_9.edi H:/Invoice file/2017/12/INVOIC_5400_20171208001011_9.edi
2018/11/21 00:05:25 fileUtil.go:52: Copy():  2017-12-08 00:10:10 +0800 CST INVOIC_5401_20171208001011_10.edi H:/Invoice file/2017/12/INVOIC_5401_20171208001011_10.edi
2018/11/21 00:05:25 fileUtil.go:52: Copy():  2017-12-08 00:10:10 +0800 CST INVOIC_5402_20171208001011_11.edi H:/Invoice file/2017/12/INVOIC_5402_20171208001011_11.edi
2018/11/21 00:05:25 fileUtil.go:52: Copy():  2017-12-08 00:10:10 +0800 CST INVOIC_5403_20171208001011_12.edi H:/Invoice file/2017/12/INVOIC_5403_20171208001011_12.edi
2018/11/21 00:05:25 fileUtil.go:52: Copy():  2017-12-08 15:57:32 +0800 CST INVOIC_5404_20171208155733_1.edi H:/Invoice file/2017/12/INVOIC_5404_20171208155733_1.edi
2018/11/21 00:05:25 fileUtil.go:52: Copy():  2017-12-08 15:57:32 +0800 CST INVOIC_5405_20171208155733_2.edi H:/Invoice file/2017/12/INVOIC_5405_20171208155733_2.edi
2018/11/21 00:05:25 fileUtil.go:52: Copy():  2017-12-08 15:57:32 +0800 CST INVOIC_5406_20171208155733_3.edi H:/Invoice file/2017/12/INVOIC_5406_20171208155733_3.edi
2018/11/21 00:05:25 fileUtil.go:52: Copy():  2017-12-08 15:57:32 +0800 CST INVOIC_5407_20171208155733_4.edi H:/Invoice file/2017/12/INVOIC_5407_20171208155733_4.edi
2018/11/21 00:05:25 fileUtil.go:52: Copy():  2017-12-08 15:57:32 +0800 CST INVOIC_5408_20171208155733_5.edi H:/Invoice file/2017/12/INVOIC_5408_20171208155733_5.edi
2018/11/21 00:05:25 fileUtil.go:52: Copy():  2017-12-08 15:57:32 +0800 CST INVOIC_5409_20171208155733_6.edi H:/Invoice file/2017/12/INVOIC_5409_20171208155733_6.edi
2018/11/21 00:05:25 fileUtil.go:52: Copy():  2017-12-08 15:57:32 +0800 CST INVOIC_5410_20171208155733_7.edi H:/Invoice file/2017/12/INVOIC_5410_20171208155733_7.edi
2018/11/21 00:05:25 fileUtil.go:52: Copy():  2017-12-08 15:57:32 +0800 CST INVOIC_5411_20171208155733_8.edi H:/Invoice file/2017/12/INVOIC_5411_20171208155733_8.edi
2018/11/21 00:05:25 fileUtil.go:52: Copy():  2017-12-08 15:57:32 +0800 CST INVOIC_5412_20171208155733_9.edi H:/Invoice file/2017/12/INVOIC_5412_20171208155733_9.edi
2018/11/21 00:05:25 fileUtil.go:52: Copy():  2017-12-08 15:57:32 +0800 CST INVOIC_5413_20171208155733_10.edi H:/Invoice file/2017/12/INVOIC_5413_20171208155733_10.edi
2018/11/21 00:05:25 fileUtil.go:52: Copy():  2017-12-08 15:57:32 +0800 CST INVOIC_5414_20171208155733_11.edi H:/Invoice file/2017/12/INVOIC_5414_20171208155733_11.edi
2018/11/21 00:05:25 fileUtil.go:52: Copy():  2017-12-08 15:57:32 +0800 CST INVOIC_5415_20171208155733_12.edi H:/Invoice file/2017/12/INVOIC_5415_20171208155733_12.edi
2018/11/21 00:05:25 fileUtil.go:52: Copy():  2017-12-08 15:57:32 +0800 CST INVOIC_5416_20171208155733_13.edi H:/Invoice file/2017/12/INVOIC_5416_20171208155733_13.edi
2018/11/21 00:05:25 fileUtil.go:52: Copy():  2017-12-08 15:57:32 +0800 CST INVOIC_5417_20171208155733_14.edi H:/Invoice file/2017/12/INVOIC_5417_20171208155733_14.edi
2018/11/21 00:05:25 fileUtil.go:52: Copy():  2017-12-08 15:57:32 +0800 CST INVOIC_5418_20171208155733_15.edi H:/Invoice file/2017/12/INVOIC_5418_20171208155733_15.edi
2018/11/21 00:05:25 fileUtil.go:52: Copy():  2017-12-08 15:57:32 +0800 CST INVOIC_5419_20171208155733_16.edi H:/Invoice file/2017/12/INVOIC_5419_20171208155733_16.edi
2018/11/21 00:05:25 fileUtil.go:52: Copy():  2017-12-08 15:57:34 +0800 CST INVOIC_5420_20171208155733_17.edi H:/Invoice file/2017/12/INVOIC_5420_20171208155733_17.edi
2018/11/21 00:05:25 fileUtil.go:52: Copy():  2017-12-08 15:57:34 +0800 CST INVOIC_5421_20171208155733_18.edi H:/Invoice file/2017/12/INVOIC_5421_20171208155733_18.edi
2018/11/21 00:05:25 fileUtil.go:52: Copy():  2017-12-08 15:57:34 +0800 CST INVOIC_5422_20171208155733_19.edi H:/Invoice file/2017/12/INVOIC_5422_20171208155733_19.edi
2018/11/21 00:05:25 fileUtil.go:52: Copy():  2017-12-08 15:57:34 +0800 CST INVOIC_5423_20171208155733_20.edi H:/Invoice file/2017/12/INVOIC_5423_20171208155733_20.edi
2018/11/21 00:05:25 fileUtil.go:52: Copy():  2017-12-08 15:57:34 +0800 CST INVOIC_5424_20171208155733_21.edi H:/Invoice file/2017/12/INVOIC_5424_20171208155733_21.edi
2018/11/21 00:05:25 fileUtil.go:52: Copy():  2017-12-08 15:57:34 +0800 CST INVOIC_5425_20171208155733_22.edi H:/Invoice file/2017/12/INVOIC_5425_20171208155733_22.edi
2018/11/21 00:05:25 fileUtil.go:52: Copy():  2017-12-08 15:57:34 +0800 CST INVOIC_5426_20171208155733_23.edi H:/Invoice file/2017/12/INVOIC_5426_20171208155733_23.edi
2018/11/21 00:05:25 fileUtil.go:52: Copy():  2017-12-08 15:57:34 +0800 CST INVOIC_5427_20171208155733_24.edi H:/Invoice file/2017/12/INVOIC_5427_20171208155733_24.edi
2018/11/21 00:05:25 fileUtil.go:52: Copy():  2017-12-08 15:57:34 +0800 CST INVOIC_5428_20171208155733_25.edi H:/Invoice file/2017/12/INVOIC_5428_20171208155733_25.edi
2018/11/21 00:05:25 fileUtil.go:52: Copy():  2017-12-08 15:57:34 +0800 CST INVOIC_5429_20171208155733_26.edi H:/Invoice file/2017/12/INVOIC_5429_20171208155733_26.edi
2018/11/21 00:05:25 fileUtil.go:52: Copy():  2017-12-08 15:57:34 +0800 CST INVOIC_5430_20171208155733_27.edi H:/Invoice file/2017/12/INVOIC_5430_20171208155733_27.edi
2018/11/21 00:05:25 fileUtil.go:52: Copy():  2017-12-08 15:57:34 +0800 CST INVOIC_5431_20171208155733_28.edi H:/Invoice file/2017/12/INVOIC_5431_20171208155733_28.edi
2018/11/21 00:05:25 fileUtil.go:52: Copy():  2017-12-08 15:57:34 +0800 CST INVOIC_5432_20171208155733_29.edi H:/Invoice file/2017/12/INVOIC_5432_20171208155733_29.edi
2018/11/21 00:05:25 fileUtil.go:52: Copy():  2017-12-08 15:57:34 +0800 CST INVOIC_5433_20171208155733_30.edi H:/Invoice file/2017/12/INVOIC_5433_20171208155733_30.edi
2018/11/21 00:05:25 fileUtil.go:52: Copy():  2017-12-08 15:57:34 +0800 CST INVOIC_5434_20171208155733_31.edi H:/Invoice file/2017/12/INVOIC_5434_20171208155733_31.edi
2018/11/21 00:05:25 fileUtil.go:52: Copy():  2017-12-08 15:57:34 +0800 CST INVOIC_5435_20171208155733_32.edi H:/Invoice file/2017/12/INVOIC_5435_20171208155733_32.edi
